"","state","postcode","fips","fm_first_mandate","fm_second_mandate","fm_end","public_mask_mandate_flag"
"1","Alabama","AL","1",2020-07-16,NA,NA,0
"2","Alaska","AK","2",2020-04-24,NA,2020-05-22,0
"3","Arizona","AZ","4",NA,NA,NA,0
"4","Arkansas","AR","5",2020-07-20,NA,NA,0
"5","California","CA","6",2020-06-18,NA,NA,1
"6","Colorado","CO","8",2020-07-16,NA,NA,0
"7","Connecticut","CT","9",2020-04-20,NA,NA,1
"8","Delaware","DE","10",2020-04-28,NA,NA,1
"9","District of Columbia","DC","11",2020-04-17,NA,NA,1
"10","Florida","FL","12",NA,NA,NA,0
"11","Georgia","GA","13",NA,NA,NA,0
"12","Hawaii","HI","15",NA,NA,NA,0
"13","Idaho","ID","16",NA,NA,NA,0
"14","Illinois","IL","17",2020-05-01,NA,NA,1
"15","Indiana","IN","18",2020-07-27,NA,NA,0
"16","Iowa","IA","19",2020-11-16,NA,2021-02-07,0
"17","Kansas","KS","20",2020-07-03,NA,NA,0
"18","Kentucky","KY","21",2020-05-11,NA,NA,1
"19","Louisiana","LA","22",2020-08-07,NA,NA,0
"20","Maine","ME","23",2020-05-01,NA,NA,1
"21","Maryland","MD","24",2020-04-18,NA,NA,1
"22","Massachusetts","MA","25",2020-05-06,NA,NA,1
"23","Michigan","MI","26",2020-04-27,NA,NA,1
"24","Minnesota","MN","27",2020-07-24,NA,NA,0
"25","Mississippi","MS","28",2020-08-05,NA,2020-09-30,0
"26","Missouri","MO","29",NA,NA,NA,0
"27","Montana","MT","30",NA,NA,2021-02-12,0
"28","Nebraska","NE","31",NA,NA,NA,0
"29","Nevada","NV","32",2020-06-26,NA,NA,1
"30","New Hampshire","NH","33",2020-11-20,NA,NA,0
"31","New Jersey","NJ","34",2020-04-08,NA,NA,1
"32","New Mexico","NM","35",2020-05-15,NA,NA,1
"33","New York","NY","36",2020-04-17,NA,NA,1
"34","North Carolina","NC","37",2020-06-26,NA,NA,1
"35","North Dakota","ND","38",2020-11-14,NA,2021-01-18,0
"36","Ohio","OH","39",2020-07-23,NA,NA,0
"37","Oklahoma","OK","40",NA,NA,NA,0
"38","Oregon","OR","41",2020-07-01,NA,NA,1
"39","Pennsylvania","PA","42",2020-07-01,NA,NA,1
"40","Rhode Island","RI","44",2020-04-18,NA,NA,1
"41","South Carolina","SC","45",NA,NA,NA,0
"42","South Dakota","SD","46",NA,NA,NA,0
"43","Tennessee","TN","47",NA,NA,NA,0
"44","Texas","TX","48",2020-07-03,NA,2021-03-10,0
"45","Utah","UT","49",2020-04-10,2020-11-09,2020-05-01,0
"46","Vermont","VT","50",2020-08-01,NA,NA,0
"47","Virginia","VA","51",2020-05-29,NA,NA,1
"48","Washington","WA","53",2020-06-26,NA,NA,1
"49","West Virginia","WV","54",2020-07-07,NA,NA,0
"50","Wisconsin","WI","55",2020-08-01,NA,NA,0
"51","Wyoming","WY","56",NA,NA,2021-03-16,0
