"","state","Sunday_parks","Monday_parks","Tuesday_parks","Wednesday_parks","Thursday_parks","Friday_parks","Saturday_parks"
"1","Alabama",0,12,5,7,16,35,17
"2","Alaska",-46,6,44,50,55,133,61
"3","Arizona",0,2,1,1,4,10,0
"4","Arkansas",7,-11,10,-24,-13,78,7
"5","California",-2,2,1,1,7,17,-10
"6","Colorado",2,1,2,16,25,61,0
"7","Connecticut",-30,-32,-47,-23,29,-47,128
"8","Delaware",4,13,10,-40,47,NA,NA
"9","District of Columbia",-4,10,0,-10,2,-4,44
"10","Florida",-7,-4,-5,-8,0,4,-12
"11","Georgia",5,19,-5,16,10,31,9
"12","Hawaii",1,1,1,3,4,8,-9
"13","Idaho",-129,-143,-96,-22,30,72,NA
"14","Illinois",15,18,-23,-1,-1,93,19
"15","Indiana",26,-1,-16,-7,19,100,156
"16","Iowa",-32,78,-26,-27,26,144,60
"17","Kansas",-12,-8,-47,-20,1,19,18
"18","Kentucky",-25,-7,-22,-26,11,60,90
"19","Louisiana",1,17,17,31,17,-2,-5
"20","Maine",-33,-97,-81,62,96,99,141
"21","Maryland",-1,46,24,-27,38,39,16
"22","Massachusetts",-41,-57,-56,-4,28,-11,83
"23","Michigan",141,70,112,51,66,168,112
"24","Minnesota",8,-57,-13,-36,2,70,9
"25","Mississippi",-2,18,14,11,10,32,-3
"26","Missouri",-7,19,-67,-38,6,40,26
"27","Montana",-64,-118,-105,-6,47,57,67
"28","Nebraska",8,15,-35,-21,22,73,7
"29","Nevada",-13,6,3,0,6,13,9
"30","New Hampshire",-52,-84,-103,22,97,51,150
"31","New Jersey",2,17,-21,-43,33,13,78
"32","New Mexico",2,2,4,2,3,20,2
"33","New York",-12,7,-11,-11,23,-12,81
"34","North Carolina",-18,1,-9,-7,25,40,3
"35","North Dakota",-78,-17,-118,NA,59,67,50
"36","Ohio",41,49,54,8,27,70,81
"37","Oklahoma",4,-6,-9,-20,-10,35,26
"38","Oregon",-43,-26,-42,-19,9,21,21
"39","Pennsylvania",11,35,28,-1,32,35,70
"40","Rhode Island",-47,-81,-108,-40,88,38,227
"41","South Carolina",-22,-11,-11,0,11,26,5
"42","South Dakota",19,23,-31,13,119,143,104
"43","Tennessee",-3,-8,-13,-19,21,61,45
"44","Texas",-4,8,9,2,4,14,-3
"45","Utah",-69,-45,-34,3,21,48,22
"46","Vermont",-89,-83,-73,16,85,87,NA
"47","Virginia",-13,34,-2,-23,35,40,10
"48","Washington",-19,-32,-71,-46,-37,14,79
"49","West Virginia",-34,20,31,13,33,48,66
"50","Wisconsin",11,30,42,48,22,202,27
"51","Wyoming",-21,-18,-37,22,116,NA,88
