"","state","Sunday_retail","Monday_retail","Tuesday_retail","Wednesday_retail","Thursday_retail","Friday_retail","Saturday_retail"
"1","Alabama",0,3,5,7,12,6,-24
"2","Alaska",-4,3,9,19,16,7,-22
"3","Arizona",-2,1,1,1,4,1,-14
"4","Arkansas",-1,0,5,6,11,11,-15
"5","California",1,3,4,5,7,6,-15
"6","Colorado",2,3,5,6,10,9,-18
"7","Connecticut",-3,-2,-1,2,11,5,-13
"8","Delaware",0,4,4,4,11,8,-16
"9","District of Columbia",0,5,2,4,8,0,-3
"10","Florida",-5,0,0,1,5,5,-12
"11","Georgia",0,3,2,7,9,7,-17
"12","Hawaii",-2,3,3,4,7,4,-12
"13","Idaho",-6,-1,3,7,9,5,-24
"14","Illinois",5,7,5,8,13,13,-21
"15","Indiana",0,2,2,6,11,9,-18
"16","Iowa",-1,6,1,4,10,7,-23
"17","Kansas",-1,2,1,4,9,5,-22
"18","Kentucky",-2,1,1,7,12,9,-13
"19","Louisiana",3,7,7,14,11,4,-16
"20","Maine",-3,-4,-1,11,14,14,-17
"21","Maryland",0,8,7,5,12,7,-12
"22","Massachusetts",-1,-1,1,6,10,7,-15
"23","Michigan",4,6,6,6,9,5,-24
"24","Minnesota",-1,1,5,6,10,3,-21
"25","Mississippi",-1,6,6,10,13,12,-23
"26","Missouri",-1,3,-1,5,10,8,-19
"27","Montana",-3,-1,1,7,10,3,-23
"28","Nebraska",0,5,3,8,13,9,-23
"29","Nevada",-3,3,4,4,7,7,-8
"30","New Hampshire",-1,0,3,7,13,15,-19
"31","New Jersey",2,5,4,3,13,12,-8
"32","New Mexico",2,2,4,6,8,6,-16
"33","New York",4,6,5,5,10,6,-10
"34","North Carolina",-3,2,2,4,10,6,-15
"35","North Dakota",-3,3,1,10,10,-4,-27
"36","Ohio",0,4,5,7,11,7,-23
"37","Oklahoma",-1,0,5,5,9,7,-17
"38","Oregon",-2,1,2,5,7,6,-17
"39","Pennsylvania",4,7,8,8,12,7,-21
"40","Rhode Island",-2,0,-1,4,13,10,-11
"41","South Carolina",-3,2,2,5,9,8,-18
"42","South Dakota",3,4,5,9,17,8,-22
"43","Tennessee",-1,1,2,4,10,8,-20
"44","Texas",-4,1,2,2,5,5,-12
"45","Utah",-2,0,2,3,7,6,-19
"46","Vermont",-3,1,0,8,12,13,-14
"47","Virginia",-1,7,3,4,12,7,-14
"48","Washington",0,1,2,4,7,8,-15
"49","West Virginia",-1,3,5,8,12,8,-19
"50","Wisconsin",2,2,7,9,12,11,-21
"51","Wyoming",1,3,5,9,17,9,-15
