"","state","Sunday_work","Monday_work","Tuesday_work","Wednesday_work","Thursday_work","Friday_work","Saturday_work"
"1","Alabama",2,1,0,-3,-6,-26,-21
"2","Alaska",0,2,2,0,-5,-28,-16
"3","Arizona",-2,1,0,-2,-3,-19,-13
"4","Arkansas",1,1,0,-2,-4,-24,-19
"5","California",0,2,1,0,-2,-18,-16
"6","Colorado",1,3,2,0,-3,-20,-15
"7","Connecticut",0,3,1,0,-2,-22,-16
"8","Delaware",1,3,2,-1,-1,-20,-15
"9","District of Columbia",2,3,3,0,1,-12,-6
"10","Florida",0,0,0,-1,-3,-19,-13
"11","Georgia",3,1,0,-2,-3,-22,-19
"12","Hawaii",1,3,2,1,-2,-28,-11
"13","Idaho",-2,-1,1,-1,-4,-23,-16
"14","Illinois",1,3,1,0,-3,-21,-22
"15","Indiana",2,0,0,-3,-6,-28,-21
"16","Iowa",0,2,0,-2,-4,-27,-24
"17","Kansas",1,1,0,-2,-5,-26,-20
"18","Kentucky",0,1,0,-2,-4,-23,-16
"19","Louisiana",1,3,1,1,-2,-21,-14
"20","Maine",1,-1,-1,-1,-5,-23,-14
"21","Maryland",2,3,3,0,0,-19,-13
"22","Massachusetts",-1,1,1,0,-1,-18,-15
"23","Michigan",3,2,2,-2,-5,-24,-21
"24","Minnesota",0,0,1,-1,-5,-24,-16
"25","Mississippi",1,1,-1,-3,-5,-24,-18
"26","Missouri",0,1,1,-2,-3,-27,-18
"27","Montana",1,0,0,-1,-4,-24,-16
"28","Nebraska",-1,0,0,-2,-4,-27,-26
"29","Nevada",1,3,2,0,-2,-16,-7
"30","New Hampshire",1,1,1,-2,-4,-26,-19
"31","New Jersey",2,3,2,0,0,-18,-15
"32","New Mexico",-2,2,2,0,-3,-21,-10
"33","New York",1,3,2,0,-1,-16,-12
"34","North Carolina",0,1,0,-3,-5,-23,-16
"35","North Dakota",0,0,-1,-2,-6,-31,-19
"36","Ohio",1,2,1,-2,-5,-26,-20
"37","Oklahoma",1,1,0,-2,-5,-24,-15
"38","Oregon",0,2,1,-1,-2,-19,-13
"39","Pennsylvania",1,3,2,-1,-2,-22,-16
"40","Rhode Island",1,1,1,-1,-3,-21,-18
"41","South Carolina",1,1,0,-2,-5,-23,-17
"42","South Dakota",1,1,0,-1,-5,-30,-20
"43","Tennessee",2,0,-1,-2,-5,-25,-19
"44","Texas",-1,1,0,-2,-3,-18,-15
"45","Utah",-3,1,1,-1,-3,-23,-15
"46","Vermont",-1,1,0,-1,-3,-22,-16
"47","Virginia",1,3,1,0,-1,-21,-15
"48","Washington",0,2,2,-1,-3,-19,-13
"49","West Virginia",-2,2,1,-1,-3,-20,-11
"50","Wisconsin",0,1,0,-2,-6,-26,-21
"51","Wyoming",0,1,2,-1,-4,-26,-13
